Name,Label
Zed,0
Akali,0
Veigar,0
Pyke,3
Lee Sin,3
Ahri,3
Yasuo,3
Lux,3
Sylas,3
Master Yi,3
Kayn,3
Sion,3
Cho'Gath,3
Darius,3
Vladimir,3
Tryndamere,1
Viego,1
Yone,3
Ezreal,3
Mordekaiser,3
Tristana,2
Jhin,3
Fiddlesticks,3
Neeko,3
Vex,3
Garen,3
Vel'Koz,2
Akshan,2
Irelia,2
Brand,1
Nunu & Willump,1
Nautilus,1
Galio,1
Warwick,1
Illaoi,1
Kindred,1
Karthus,1
Katarina,2
Vayne,2
Kai'Sa,2
Nasus,2
Corki,2
Vi,2
Zeri,2
Sett,2
Shaco,2
Teemo,2
Swain,2
Malphite,2
Ryze,2
