Name,Winrate,KDA,Rank,Image,RImg
Maokai,54.0,2.21,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Maokai.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Sion,53.82,1.63,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Sion.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Yorick,53.63,1.7,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Yorick.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Zyra,53.28,1.98,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Zyra.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Rammus,53.23,2.37,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Rammus.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Shyvana,52.95,2.1,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Shyvana.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Trundle,52.88,2.07,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Trundle.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Illaoi,52.78,1.5,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Illaoi.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Urgot,52.71,1.79,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Urgot.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Swain,52.38,2.15,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Swain.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Dr. Mundo,52.26,2.13,Iron,"https://opgg-static.akamaized.net/images/lol/champion/DrMundo.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Draven,52.14,2.1,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Draven.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Brand,52.13,1.79,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Brand.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Xerath,52.05,2.34,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Xerath.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Miss Fortune,51.87,2.09,Iron,"https://opgg-static.akamaized.net/images/lol/champion/MissFortune.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Nocturne,51.83,2.13,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Nocturne.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Nasus,51.55,1.86,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Nasus.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Zac,51.51,2.87,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Zac.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Sejuani,51.49,2.43,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Sejuani.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Sett,51.48,1.71,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Sett.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
